date,age_group,total_hospitalised,total_icu
2021-10-01,0 to 9,5,0
2021-10-01,10 to 19,7,1
2021-10-01,20 to 29,24,1
2021-10-01,30 to 39,35,2
2021-10-01,40 to 49,47,3
2021-10-01,50 to 59,60,4
2021-10-01,60 to 69,38,4
2021-10-01,70 to 79,32,4
2021-10-01,80 to 89,8,0
2021-10-01,90+,6,0
2021-10-01,Total,262,19
2021-10-02,0 to 9,5,0
2021-10-02,10 to 19,7,1
2021-10-02,20 to 29,26,1
2021-10-02,30 to 39,36,2
2021-10-02,40 to 49,51,3
2021-10-02,50 to 59,61,4
2021-10-02,60 to 69,38,4
2021-10-02,70 to 79,32,4
2021-10-02,80 to 89,8,0
2021-10-02,90+,6,0
2021-10-02,Total,270,19
2021-10-03,0 to 9,5,0
2021-10-03,10 to 19,7,1
2021-10-03,20 to 29,26,1
2021-10-03,30 to 39,37,2
2021-10-03,40 to 49,51,3
2021-10-03,50 to 59,61,4
2021-10-03,60 to 69,38,4
2021-10-03,70 to 79,32,4
2021-10-03,80 to 89,8,0
2021-10-03,90+,6,0
2021-10-03,Total,271,19
2021-10-04,0 to 9,5,0
2021-10-04,10 to 19,7,1
2021-10-04,20 to 29,27,1
2021-10-04,30 to 39,37,2
2021-10-04,40 to 49,52,3
2021-10-04,50 to 59,63,4
2021-10-04,60 to 69,38,4
2021-10-04,70 to 79,32,4
2021-10-04,80 to 89,8,0
2021-10-04,90+,6,0
2021-10-04,Total,275,19
2021-10-05,0 to 9,5,0
2021-10-05,10 to 19,7,1
2021-10-05,20 to 29,27,1
2021-10-05,30 to 39,38,2
2021-10-05,40 to 49,54,3
2021-10-05,50 to 59,64,4
2021-10-05,60 to 69,38,4
2021-10-05,70 to 79,32,4
2021-10-05,80 to 89,8,0
2021-10-05,90+,6,0
2021-10-05,Total,279,19
2021-10-06,0 to 9,6,0
2021-10-06,10 to 19,7,1
2021-10-06,20 to 29,28,1
2021-10-06,30 to 39,38,2
2021-10-06,40 to 49,54,3
2021-10-06,50 to 59,65,4
2021-10-06,60 to 69,38,4
2021-10-06,70 to 79,32,4
2021-10-06,80 to 89,8,0
2021-10-06,90+,6,0
2021-10-06,Total,282,19
2021-10-07,0 to 9,6,0
2021-10-07,10 to 19,7,1
2021-10-07,20 to 29,28,1
2021-10-07,30 to 39,38,2
2021-10-07,40 to 49,54,3
2021-10-07,50 to 59,65,4
2021-10-07,60 to 69,38,4
2021-10-07,70 to 79,32,4
2021-10-07,80 to 89,8,0
2021-10-07,90+,6,0
2021-10-07,Total,282,19
2021-10-08,0 to 9,6,0
2021-10-08,10 to 19,7,1
2021-10-08,20 to 29,28,1
2021-10-08,30 to 39,38,2
2021-10-08,40 to 49,55,3
2021-10-08,50 to 59,66,4
2021-10-08,60 to 69,38,4
2021-10-08,70 to 79,32,4
2021-10-08,80 to 89,8,0
2021-10-08,90+,6,0
2021-10-08,Total,284,19
2021-10-09,0 to 9,6,0
2021-10-09,10 to 19,7,1
2021-10-09,20 to 29,29,1
2021-10-09,30 to 39,38,2
2021-10-09,40 to 49,55,3
2021-10-09,50 to 59,67,4
2021-10-09,60 to 69,38,4
2021-10-09,70 to 79,32,4
2021-10-09,80 to 89,8,0
2021-10-09,90+,6,0
2021-10-09,Total,286,19
2021-10-10,0 to 9,6,0
2021-10-10,10 to 19,7,1
2021-10-10,20 to 29,30,1
2021-10-10,30 to 39,38,2
2021-10-10,40 to 49,58,3
